"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2020","2020",22947,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2021","2021",23535,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",31637,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",32573,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2014","2014",33203,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2015","2015",35238,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2016","2016",36380,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2017","2017",37500,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2018","2018",38291,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2019","2019",38966,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2020","2020",39468,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2010","2010",30920,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2011","2011",32003,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",33000,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",34824,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2014","2014",36273,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2015","2015",37222,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2016","2016",38526,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2017","2017",39649,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2018","2018",40541,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2019","2019",41342,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","CAN","Canada","2020","2020",41856,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2010","2010",33262,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2011","2011",34347,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",35553,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",36568,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2014","2014",38059,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2015","2015",39263,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2016","2016",40888,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2017","2017",41822,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2018","2018",42844,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2019","2019",43744,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","CAN","Canada","2020","2020",44094,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2010","2010",6061,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2011","2011",6222,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2012","2012",6327,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2013","2013",6383,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2014","2014",6724,"E; B","Estimated value; Break"
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2015","2015",6965,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2016","2016",7172,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2017","2017",7308,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2018","2018",7347,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2019","2019",7686,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2020","2020",7594,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2010","2010",2628,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2011","2011",2689,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2012","2012",2788,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2013","2013",2849,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2014","2014",2879,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2015","2015",2931,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2016","2016",2979,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2017","2017",3063,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2018","2018",3130,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2019","2019",2577,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2010","2010",3407,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2011","2011",3453,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2012","2012",3497,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2013","2013",3527,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2014","2014",3573,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2015","2015",3630,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2016","2016",3677,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2017","2017",3734,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2018","2018",3831,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2019","2019",3299,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2010","2010",5587,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2011","2011",5709,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2012","2012",5828,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2013","2013",5934,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2014","2014",6012,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2015","2015",6122,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2016","2016",6251,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2017","2017",6345,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2018","2018",6524,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2019","2019",6058,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2010","2010",5389,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2011","2011",5382,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2012","2012",5588,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2013","2013",5606,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2014","2014",5566,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2015","2015",5497,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2016","2016",5571,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2017","2017",5658,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2018","2018",5692,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2010","2010",5958,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2011","2011",5997,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2012","2012",6328,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2013","2013",6353,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2014","2014",6334,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2015","2015",6215,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2016","2016",6288,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2017","2017",6424,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FIN","Finland","2018","2018",6461,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2010","2010",9569,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2011","2011",9688,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2012","2012",9869,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2013","2013",10011,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2014","2014",10181,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2015","2015",10345,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2016","2016",10483,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2017","2017",10667,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2018","2018",10821,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2019","2019",10946,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","FIN","Finland","2020","2020",11126,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2011","2011",68564,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2012","2012",69433,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2013","2013",69688,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2014","2014",70123,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2015","2015",70241,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2016","2016",69855,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2017","2017",69282,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2018","2018",68988,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2019","2019",69078,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2020","2020",68621,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2010","2010",73298,"B","Break"
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2011","2011",72658,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2012","2012",73599,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2013","2013",73799,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2014","2014",74334,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2015","2015",74484,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2016","2016",74232,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2017","2017",73756,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2018","2018",73628,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2019","2019",73788,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","FRA","France","2020","2020",73427,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2010","2010",50604,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2011","2011",50656,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2012","2012",50456,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2013","2013",51431,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2014","2014",52004,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2015","2015",52568,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2016","2016",52430,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2017","2017",53480,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2018","2018",54493,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2019","2019",55415,,
"PHSTPHAR","Practising pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2020","2020",55673,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2010","2010",58932,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2011","2011",59291,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2012","2012",59739,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2013","2013",61123,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2014","2014",61973,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2015","2015",62757,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2016","2016",62948,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2017","2017",64379,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2018","2018",65780,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2019","2019",67182,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","DEU","Germany","2020","2020",67856,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2010","2010",78322,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2011","2011",79152,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2012","2012",80213,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2013","2013",81466,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2014","2014",83205,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2015","2015",83247,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2016","2016",83862,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2017","2017",85519,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2018","2018",87252,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2019","2019",89018,,
"PHSTLPPH","Pharmacists licensed to practice","PERSMYNB","Number of persons (head counts)","DEU","Germany","2020","2020",90672,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2010","2010",11160,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2011","2011",11232,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2012","2012",11196,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2013","2013",11461,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2014","2014",11579,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2015","2015",11299,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2016","2016",11300,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2017","2017",11251,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2018","2018",10935,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2019","2019",11389,,
"PHSTPAPH","Professionally active pharmacists","PERSMYNB","Number of persons (head counts)","GRC","Greece","2020","2020",11415,,
